,Name,Author,Rating,Enrollment,Difficulty,URL
320,Dairy Production and Management,The Pennsylvania State University,4.8,29k,Mixed,https://www.coursera.org/learn/dairy-production
321,Farmacología para odontólogos,Universidad Nacional Autónoma de México,4.8,27k,Mixed,https://www.coursera.org/learn/farmaco-odontologos
322,Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,4.8,16k,Intermediate,https://www.coursera.org/learn/bridging-strategy-design-delivery-gap
323,Preventing Chronic Pain: A Human Systems Approach,University of Minnesota,4.7,18k,Beginner,https://www.coursera.org/learn/chronic-pain
324,Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,4.9,14k,Beginner,https://www.coursera.org/learn/periodismo-digital
325,Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,The University of Edinburgh,4.7,21k,Intermediate,https://www.coursera.org/learn/know-thyself-the-unconscious
326,The Ancient Greeks,Wesleyan University,4.7,80k,Mixed,https://www.coursera.org/learn/ancient-greeks
327,EU policy and implementation: making Europe work!,Universiteit Leiden,4.3,10k,Intermediate,https://www.coursera.org/learn/eu-making-europe-work
328,Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,4.8,31k,Beginner,https://www.coursera.org/learn/matrix-algebra-engineers
329,Chicken Behaviour and Welfare,The University of Edinburgh,4.7,22k,Mixed,https://www.coursera.org/learn/chickens
330,Introduction to Molecular Spectroscopy,University of Manchester   ,4.7,27k,Intermediate,https://www.coursera.org/learn/spectroscopy
331,Oceanography: a key to better understand our world,Fundació Navegació Oceànica Barcelona,4.5,11k,Mixed,https://www.coursera.org/learn/oceanography
332,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,4.6,48k,Mixed,https://www.coursera.org/learn/philosophy-cognitive-sciences
333,The Challenges of Global Health,Duke University,4.8,39k,Beginner,https://www.coursera.org/learn/global-health
334,Astro 101: Black Holes,University of Alberta,4.8,18k,Beginner,https://www.coursera.org/learn/black-holes-astro-101
335,Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,4.8,6.2k,Beginner,https://www.coursera.org/learn/challenging-forensic-science
336,Cómo hablar bien en público,Universitat Autònoma de Barcelona,4.8,100k,Beginner,https://www.coursera.org/learn/hablar-bien-en-publico
337,Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,4.8,38k,Intermediate,https://www.coursera.org/learn/cuidado-heridas
338,Data-driven Astronomy,The University of Sydney,4.8,19k,Intermediate,https://www.coursera.org/learn/data-driven-astronomy
339,Stanford's Short Course on Breastfeeding,Stanford University,4.7,20k,Beginner,https://www.coursera.org/learn/breastfeeding
340,Risk in Modern Society,LDE Centre for Safety and Security,4.8,5.5k,Beginner,https://www.coursera.org/learn/risk-in-modern-society
341,An Introduction to Global Health,University of Copenhagen,4.8,23k,Mixed,https://www.coursera.org/learn/global-health-introduction
342,Costos para los Negocios,Universidad de Chile,4.8,51k,Intermediate,https://www.coursera.org/learn/costosparanegocios
343,Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),Michigan State University,4.5,67k,Mixed,https://www.coursera.org/learn/script-writing
344,A Life of Happiness and Fulfillment,Indian School of Business,4.8,370k,Mixed,https://www.coursera.org/learn/happiness
345,Disaster Preparedness,University of Pittsburgh,4.7,34k,Beginner,https://www.coursera.org/learn/disaster-preparedness
346,Introduction to Complex Analysis,Wesleyan University,4.8,47k,Intermediate,https://www.coursera.org/learn/complex-analysis
347,Álgebra Básica,Universidad Nacional Autónoma de México,4.8,200k,Mixed,https://www.coursera.org/learn/algebra-basica
